路径编号,车型,节点序列,是否可行,总成本,固定成本,能耗成本,碳排成本,等待成本,迟到成本,总距离,违规信息,到达时刻,服务开始时刻,离开时刻
1,fuel_1500,0 -> 8_7 -> 0,True,629.759387809908,400.0,165.76460766911373,36.06197059482277,27.93280954597151,0.0,66.0548965441108,[],"[8.0, 9.420026189368091, 13.107367961519989]","[8.0, 10.816666666666666, 13.107367961519989]","[8.0, 11.15, 13.107367961519989]"
2,fuel_1500,0 -> 62_2 -> 0,True,873.4444320694329,400.0,233.181743755548,50.72851982582097,189.5341684880638,0.0,97.7527149276738,[],"[8.0, 9.706624908930143, 20.89735473061686]","[8.0, 19.183333333333334, 20.89735473061686]","[8.0, 19.516666666666666, 20.89735473061686]"
3,fuel_3000,0 -> 32_1 -> 75_2 -> 45_1 -> 0,True,993.2937037272224,400.0,431.7877120672846,93.93510469290317,67.57088696703465,0.0,174.4687645069138,[],"[8.0, 10.707303380064262, 13.788696897514766, 15.292122040735904, 17.146492453239777]","[8.0, 13.133333333333333, 14.416666666666666, 15.616666666666667, 17.146492453239777]","[8.0, 13.466666666666667, 14.75, 15.950000000000001, 17.146492453239777]"
4,fuel_3000,0 -> 63_2 -> 72_2 -> 0,True,900.5619383248581,400.0,271.64972686901933,59.09720175006636,169.81500970577252,0.0,114.0831097409392,[],"[8.0, 9.675947012535214, 16.916635835509492, 20.72328619691259]","[8.0, 15.866666666666667, 19.216666666666665, 20.72328619691259]","[8.0, 16.2, 19.549999999999997, 20.72328619691259]"
5,fuel_3000,0 -> 31_5 -> 80_1 -> 71_2 -> 0,True,1075.640788427656,400.0,438.079413596275,95.30385981331315,142.25751501806786,0.0,189.7202261288702,[],"[8.0, 9.774114832726305, 18.32649950816933, 19.246342749703636, 21.76020176665528]","[8.0, 16.816666666666666, 18.32649950816933, 19.316666666666666, 21.76020176665528]","[8.0, 17.15, 18.659832841502663, 19.65, 21.76020176665528]"
6,ev_3000,0 -> 70_3 -> 64_1 -> 0,True,600.2205616402869,400.0,167.04994332158338,33.17061831870344,0.0,0.0,246.2546455804197,[],"[8.0, 11.708224817566123, 14.23231886886392, 15.690809197186999]","[8.0, 11.708224817566123, 14.23231886886392, 15.690809197186999]","[8.0, 12.041558150899457, 14.565652202197255, 15.690809197186999]"
7,ev_3000,0 -> 64_4 -> 55_9 -> 0,True,668.3678335595266,400.0,128.05804449084852,25.428111090515138,114.88167797816303,0.0,200.5514762081911,[],"[8.0, 9.699350430360065, 16.623232337398452, 20.115630112957845]","[8.0, 14.15, 17.916666666666668, 20.115630112957845]","[8.0, 14.483333333333334, 18.25, 20.115630112957845]"
8,fuel_3000,0 -> 76_1 -> 31_1 -> 0,True,803.2704883399497,400.0,217.93673035156132,47.41197817786168,137.92177981052671,0.0,94.88316240699154,[],"[8.0, 9.503152289005822, 9.920577676140331, 18.636117238693913]","[8.0, 9.503152289005822, 16.816666666666666, 18.636117238693913]","[8.0, 9.836485622339156, 17.15, 18.636117238693913]"
9,fuel_3000,0 -> 79_2 -> 70_4 -> 0,True,1020.1365736701763,400.0,509.3318071382747,110.80476653190154,0.0,0.0,227.79319661656632,[],"[8.0, 10.169104615481505, 11.617611571879417, 14.98842429083604]","[8.0, 10.169104615481505, 11.617611571879417, 14.98842429083604]","[8.0, 10.502437948814839, 11.95094490521275, 14.98842429083604]"
10,fuel_3000,0 -> 92_1 -> 92_2 -> 2_1 -> 78_1 -> 0,True,923.1221620107833,400.0,289.54076999440736,62.989385251542856,170.592006764833,0.0,133.6074142577256,[],"[8.0, 9.13894640501894, 15.116666666666667, 16.184603564732704, 18.71351635867337, 22.28220996529952]","[8.0, 14.783333333333333, 15.116666666666667, 17.883333333333333, 19.9, 22.28220996529952]","[8.0, 15.116666666666667, 15.450000000000001, 18.216666666666665, 20.23333333333333, 22.28220996529952]"
11,fuel_3000,0 -> 7_1 -> 62_3 -> 0,True,938.7424903681228,400.0,300.3311357224167,65.33682151711524,173.07453312859082,0.0,124.8302733632833,[],"[8.0, 9.947608084409215, 13.265331925827912, 20.89735473061686]","[8.0, 12.683333333333334, 19.183333333333334, 20.89735473061686]","[8.0, 13.016666666666667, 19.516666666666666, 20.89735473061686]"
12,ev_3000,0 -> 56_5 -> 58_1 -> 0,True,594.45029885949,400.0,105.50684074361597,20.95018456595033,67.99327354992374,0.0,159.31775788122502,[],"[8.0, 10.433669655837146, 14.521924364694305, 16.44677548205057]","[8.0, 13.833333333333334, 14.521924364694305, 16.44677548205057]","[8.0, 14.166666666666668, 14.85525769802764, 16.44677548205057]"
13,ev_3000,0 -> 87_1 -> 39_3 -> 57_4 -> 0,True,611.0202344487656,400.0,145.71856448709627,28.934908856843233,29.84036944236525,6.5263916624608065,213.2130519276165,[],"[8.0, 10.824914741351785, 13.116400119863286, 16.11386116658255, 17.299081265216298]","[8.0, 11.3, 14.133333333333333, 16.11386116658255, 17.299081265216298]","[8.0, 11.633333333333335, 14.466666666666667, 16.44719449991588, 17.299081265216298]"
14,fuel_3000,0 -> 16_1 -> 93_1 -> 39_2 -> 62_6 -> 0,True,1080.781999223417,400.0,452.78859702096076,98.50383203653767,129.4895701659185,0.0,185.15993290644838,[],"[8.0, 9.63000228284436, 10.81248621732871, 13.537191690265697, 15.359176917443001, 20.89735473061686]","[8.0, 9.63000228284436, 12.866666666666667, 14.133333333333333, 19.183333333333334, 20.89735473061686]","[8.0, 9.963335616177694, 13.200000000000001, 14.466666666666667, 19.516666666666666, 20.89735473061686]"
15,fuel_3000,0 -> 42_3 -> 54_5 -> 0,True,1016.5429962890285,400.0,398.38017818714195,86.66731984201353,131.49549825987293,0.0,175.3473560653734,[],"[8.0, 9.954216693799426, 11.037675059873592, 20.38151061521864]","[8.0, 10.233333333333333, 17.333333333333332, 20.38151061521864]","[8.0, 10.566666666666666, 17.666666666666664, 20.38151061521864]"
16,ev_1250,0 -> 74_1 -> 0,True,566.1870293121183,400.0,85.88264727803393,17.053465906153505,63.25091612793081,0.0,131.671756907125,[],"[8.0, 10.020787526936793, 14.707188881016803]","[8.0, 13.183333333333334, 14.707188881016803]","[8.0, 13.516666666666667, 14.707188881016803]"
17,fuel_1250,0 -> 44_4 -> 0,True,813.8273791515655,400.0,219.0612606059841,47.65661892197595,147.10949962360547,0.0,92.727800414795,[],"[8.0, 9.661191685486392, 18.659714695124222]","[8.0, 17.016666666666666, 18.659714695124222]","[8.0, 17.349999999999998, 18.659714695124222]"
18,ev_1250,0 -> 46_3 -> 0,True,524.8561711685795,400.0,84.19352961975267,16.718062756507596,23.944578792319255,0.0,130.3961910751898,[],"[8.0, 10.002771060384037, 13.919073457581582]","[8.0, 11.2, 13.919073457581582]","[8.0, 11.533333333333333, 13.919073457581582]"
19,fuel_1250,0 -> 46_2 -> 0,True,798.2409871881771,400.0,307.4178724298588,66.87853596599903,23.944578792319255,0.0,130.3961910751898,[],"[8.0, 10.002771060384037, 13.919073457581582]","[8.0, 11.2, 13.919073457581582]","[8.0, 11.533333333333333, 13.919073457581582]"
20,ev_3000,0 -> 31_4 -> 44_3 -> 0,True,630.280727435317,400.0,74.61383910700066,14.815851649509005,140.85103667880725,0.0,116.1927208388484,[],"[8.0, 9.774114832726305, 17.636448315866843, 19.2794963443244]","[8.0, 16.816666666666666, 17.636448315866843, 19.2794963443244]","[8.0, 17.15, 17.969781649200176, 19.2794963443244]"
21,ev_3000,0 -> 42_4 -> 97_1 -> 48_5 -> 19_1 -> 0,True,732.6782778787817,400.0,205.01891741241792,40.7100063752158,86.94935409114788,0.0,338.3781961566462,[],"[8.0, 9.954216693799426, 11.415422309592596, 14.57516018987104, 18.991066435512877, 23.121674752719464]","[8.0, 10.233333333333333, 13.7, 16.1, 19.25, 23.121674752719464]","[8.0, 10.566666666666666, 14.033333333333333, 16.433333333333334, 19.583333333333332, 23.121674752719464]"
22,ev_3000,0 -> 37_1 -> 48_4 -> 29_1 -> 0,True,635.5970935088949,400.0,145.0019106856065,28.79260500900473,61.802577814283595,0.0,216.5029540800653,[],"[8.0, 9.922379369370475, 13.190734425105322, 17.452470017513832, 19.38820769212652]","[8.0, 9.922379369370475, 16.1, 17.633333333333333, 19.38820769212652]","[8.0, 10.255712702703809, 16.433333333333334, 17.966666666666665, 19.38820769212652]"
23,ev_3000,0 -> 9_2 -> 3_1 -> 89_1 -> 10_3 -> 0,True,667.9292462338974,400.0,105.86047539343015,21.02040476333569,141.04836607713156,0.0,164.8270468846021,[],"[8.0, 9.553886310910663, 11.090956708629156, 15.503641552716902, 17.299097123886703, 21.388097474218537]","[8.0, 10.1, 14.55, 16.183333333333334, 19.666666666666668, 21.388097474218537]","[8.0, 10.433333333333334, 14.883333333333335, 16.516666666666666, 20.0, 21.388097474218537]"
24,fuel_3000,0 -> 5_1 -> 10_2 -> 78_2 -> 0,True,967.5744101613077,400.0,304.0994693717705,66.15661977903216,197.3183210105051,0.0,133.18450959856096,[],"[8.0, 9.600750616141411, 19.882209024283114, 20.631434117354175, 23.013644082653695]","[8.0, 19.466666666666665, 19.882209024283114, 20.631434117354175, 23.013644082653695]","[8.0, 19.799999999999997, 20.215542357616446, 20.964767450687507, 23.013644082653695]"
25,fuel_3000,0 -> 59_1 -> 50_5 -> 0,True,1061.010213471136,400.0,414.77889227857236,90.23484824070835,155.99647295185537,0.0,173.12060561293748,[],"[8.0, 10.479584079838432, 13.120592272568798, 22.474611389273136]","[8.0, 11.25, 20.15, 22.474611389273136]","[8.0, 11.583333333333334, 20.48333333333333, 22.474611389273136]"
26,fuel_3000,0 -> 8_5 -> 8_4 -> 0,True,629.192132932904,400.0,165.29870876251874,35.96061462441366,27.93280954597151,0.0,66.0548965441108,[],"[8.0, 9.420026189368091, 11.15, 13.320749516673697]","[8.0, 10.816666666666666, 11.15, 13.320749516673697]","[8.0, 11.15, 11.483333333333334, 13.320749516673697]"
27,fuel_3000,0 -> 38_1 -> 55_8 -> 0,True,971.06960957999,400.0,354.23202120595965,77.06292019809808,139.7746681759323,0.0,152.19214332730752,[],"[8.0, 10.098740389267935, 11.295859535268784, 20.115630112957845]","[8.0, 10.466666666666667, 17.916666666666668, 20.115630112957845]","[8.0, 10.8, 18.25, 20.115630112957845]"
28,fuel_1500,0 -> 42_1 -> 0,True,765.8905909992609,400.0,295.9290970279492,64.37916118063355,5.582332790678137,0.0,125.1363663342164,[],"[8.0, 9.954216693799426, 13.268140744432337]","[8.0, 10.233333333333333, 13.268140744432337]","[8.0, 10.566666666666666, 13.268140744432337]"
29,fuel_1500,0 -> 65_2 -> 0,True,775.7212433248781,400.0,204.41605569550353,44.47056517827738,126.83462245109716,0.0,86.8745378454326,[],"[8.0, 9.608268877445141, 17.510374828325318]","[8.0, 15.95, 17.510374828325318]","[8.0, 16.28333333333333, 17.510374828325318]"
30,fuel_1500,0 -> 6_1 -> 0,True,685.3617672593914,400.0,198.08764267548733,43.09382349952734,44.18030108437666,0.0,81.2762683367306,[],"[8.0, 9.557651612447835, 13.575373131435178]","[8.0, 11.766666666666667, 13.575373131435178]","[8.0, 12.100000000000001, 13.575373131435178]"
31,ev_1250,0 -> 88_1 -> 84_2 -> 34_1 -> 0,True,643.3134915018261,400.0,124.36339703514851,24.694475758839094,94.25561870783845,0.0,188.3806292795158,[],"[8.0, 9.097468318997603, 13.26856939733662, 18.137848014940523, 20.636410277890928]","[8.0, 10.066666666666666, 16.233333333333334, 18.916666666666668, 20.636410277890928]","[8.0, 10.4, 16.566666666666666, 19.25, 20.636410277890928]"
32,ev_1250,0 -> 44_2 -> 0,True,619.0895464965752,400.0,60.05508451233453,11.92496236063521,147.10949962360547,0.0,92.727800414795,[],"[8.0, 9.661191685486392, 18.659714695124222]","[8.0, 17.016666666666666, 18.659714695124222]","[8.0, 17.349999999999998, 18.659714695124222]"
33,ev_1250,0 -> 69_2 -> 0,True,608.7213264614077,400.0,76.00404169291124,15.091900108107652,117.62538466038879,0.0,117.5249561613834,[],"[8.0, 9.885397433647228, 17.759957007929145]","[8.0, 15.766666666666667, 17.759957007929145]","[8.0, 16.1, 17.759957007929145]"
34,fuel_3000,0 -> 66_2 -> 95_1 -> 52_3 -> 0,True,965.1065764097885,400.0,403.1037874217203,87.6949376170866,74.30785137098167,0.0,177.82378071988938,[],"[8.0, 9.69024646927451, 10.724781994056611, 15.059825437394306, 17.933270421128935]","[8.0, 9.69024646927451, 14.416666666666666, 15.083333333333334, 17.933270421128935]","[8.0, 10.023579802607843, 14.75, 15.416666666666668, 17.933270421128935]"
35,fuel_3000,0 -> 56_2 -> 56_3 -> 0,True,925.414264685059,400.0,375.68992046218295,81.73107067295231,67.99327354992374,0.0,160.90381163327,[],"[8.0, 10.433669655837146, 14.166666666666668, 16.491579260356925]","[8.0, 13.833333333333334, 14.166666666666668, 16.491579260356925]","[8.0, 14.166666666666668, 14.500000000000002, 16.491579260356925]"
36,ev_1250,0 -> 26_1 -> 98_1 -> 71_1 -> 0,True,730.1521785331462,400.0,147.43071617831822,29.274885806993495,153.44657654783452,0.0,221.16577480196702,[],"[8.0, 10.390900461868547, 17.070104044073062, 20.637431433673367, 23.08096653366198]","[8.0, 15.833333333333334, 19.3, 20.637431433673367, 23.08096653366198]","[8.0, 16.166666666666668, 19.633333333333333, 20.9707647670067, 23.08096653366198]"
37,fuel_3000,0 -> 45_2 -> 68_3 -> 0,True,1063.589079204791,400.0,446.0024883076128,97.0275189904952,120.55907190668307,0.0,189.248940011564,[],"[8.0, 9.588713071332513, 18.66199425754105, 20.432856134657513]","[8.0, 15.616666666666667, 18.66199425754105, 20.432856134657513]","[8.0, 15.950000000000001, 18.995327590874382, 20.432856134657513]"
38,fuel_3000,0 -> 86_1 -> 75_3 -> 31_3 -> 0,True,937.3964636830887,400.0,364.5804910478914,79.31422233302715,93.5017503021701,0.0,153.0254520154631,[],"[8.0, 9.324108756771796, 11.828897049188246, 15.505240012264785, 18.636117238693913]","[8.0, 10.1, 14.416666666666666, 16.816666666666666, 18.636117238693913]","[8.0, 10.433333333333334, 14.75, 17.15, 18.636117238693913]"
39,fuel_3000,0 -> 63_4 -> 55_7 -> 0,True,972.0080604599555,400.0,359.67134324115233,78.2462407756754,134.09047644312773,0.0,155.80450824382248,[],"[8.0, 9.675947012535214, 17.402862498641735, 20.115630112957845]","[8.0, 15.866666666666667, 17.916666666666668, 20.115630112957845]","[8.0, 16.2, 18.25, 20.115630112957845]"
40,fuel_3000,0 -> 61_5 -> 4_1 -> 0,True,995.9691771850004,400.0,359.5568645586035,78.22133602102446,158.19097660537238,0.0,151.284455123696,[],"[8.0, 9.852142789957668, 14.00497504644038, 20.80619130237902]","[8.0, 12.283333333333333, 19.483333333333334, 20.80619130237902]","[8.0, 12.616666666666667, 19.816666666666666, 20.80619130237902]"
41,fuel_1500,0 -> 48_2 -> 0,True,742.0516466453744,400.0,172.02358217981887,37.423605976057715,132.60445848949786,0.0,71.557344553077,[],"[8.0, 9.469777075525109, 17.444030290297697]","[8.0, 16.1, 17.444030290297697]","[8.0, 16.433333333333334, 17.444030290297697]"
42,fuel_1500,0 -> 43_1 -> 0,True,768.1823627361861,400.0,181.45258503723554,39.47487873303486,147.25489896591566,0.0,77.177075385153,[],"[8.0, 9.52058838503755, 18.30673835289764]","[8.0, 16.883333333333333, 18.30673835289764]","[8.0, 17.216666666666665, 18.30673835289764]"
43,fuel_3000,0 -> 43_2 -> 77_2 -> 0,True,1057.4482148540515,400.0,406.51012127943864,88.4359830859625,162.50211048865023,0.0,188.6918673078904,[],"[8.0, 9.52058838503755, 18.170972757196605, 22.552567627416778]","[8.0, 16.883333333333333, 18.933333333333334, 22.552567627416778]","[8.0, 17.216666666666665, 19.266666666666666, 22.552567627416778]"
44,fuel_3000,0 -> 64_5 -> 53_5 -> 0,True,852.7405573425484,400.0,251.9933779069759,54.8209772396707,145.92620219590185,0.0,102.6329848540216,[],"[8.0, 9.699350430360065, 15.137672793178178, 18.901797246043387]","[8.0, 14.15, 17.983333333333334, 18.901797246043387]","[8.0, 14.483333333333334, 18.316666666666666, 18.901797246043387]"
45,fuel_1500,0 -> 48_6 -> 0,True,742.0516466453744,400.0,172.02358217981887,37.42360597605771,132.60445848949786,0.0,71.557344553077,[],"[8.0, 9.469777075525109, 17.444030290297697]","[8.0, 16.1, 17.444030290297697]","[8.0, 16.433333333333334, 17.444030290297697]"
46,fuel_1500,0 -> 67_2 -> 0,True,876.7748374024051,400.0,241.73597472419203,52.58948659062236,182.4493760875906,0.0,101.9082835689574,[],"[8.0, 9.744197862287137, 20.639382536284707]","[8.0, 18.866666666666667, 20.639382536284707]","[8.0, 19.2, 20.639382536284707]"
47,fuel_1500,0 -> 54_4 -> 0,True,1082.4755184144014,400.0,454.45887080970806,98.86719889211724,129.14944871257626,0.0,192.21095155748,[],"[8.0, 10.87586089770452, 20.38151061521864]","[8.0, 17.333333333333332, 20.38151061521864]","[8.0, 17.666666666666664, 20.38151061521864]"
48,fuel_3000,0 -> 52_2 -> 55_1 -> 0,True,1053.9854722328043,400.0,437.1699652204541,95.1060099764419,121.70949703590843,0.0,184.16749624514978,[],"[8.0, 10.677620703614808, 16.236904444589772, 20.115630112957845]","[8.0, 15.083333333333334, 17.916666666666668, 20.115630112957845]","[8.0, 15.416666666666668, 18.25, 20.115630112957845]"
49,fuel_3000,0 -> 24_1 -> 55_4 -> 0,True,921.129443721677,400.0,308.06299845598096,67.01888266672789,146.0475625989681,0.0,134.6085862399027,[],"[8.0, 9.674345027204449, 17.789943509513815, 20.115630112957845]","[8.0, 16.85, 17.916666666666668, 20.115630112957845]","[8.0, 17.183333333333334, 18.25, 20.115630112957845]"
50,fuel_1500,0 -> 57_1 -> 0,True,680.6452946483566,400.0,144.01137007408855,31.32956947781305,105.30435509645514,0.0,60.3135829832696,[],"[8.0, 9.368115578510576, 15.799815202211906]","[8.0, 14.633333333333333, 15.799815202211906]","[8.0, 14.966666666666667, 15.799815202211906]"
51,ev_1250,0 -> 27_1 -> 0,True,669.9186377345662,400.0,100.48250297687721,19.95251652098785,149.48361823670123,0.0,156.8079914420778,[],"[8.0, 10.37581908816494, 20.398135472345732]","[8.0, 17.85, 20.398135472345732]","[8.0, 18.183333333333334, 20.398135472345732]"
52,ev_1250,0 -> 27_3 -> 0,True,669.9186377345662,400.0,100.48250297687721,19.952516520987846,149.48361823670123,0.0,156.8079914420778,[],"[8.0, 10.37581908816494, 20.398135472345732]","[8.0, 17.85, 20.398135472345732]","[8.0, 18.183333333333334, 20.398135472345732]"
53,fuel_1500,0 -> 57_2 -> 0,True,680.6452946483566,400.0,144.01137007408855,31.32956947781305,105.30435509645514,0.0,60.3135829832696,[],"[8.0, 9.368115578510576, 15.799815202211906]","[8.0, 14.633333333333333, 15.799815202211906]","[8.0, 14.966666666666667, 15.799815202211906]"
