指标,问题一,问题二,变化量,变化率/%
车辆数,140.0,141.0,1.0,0.7142857142857143
总成本,115512.58606188056,120037.28429182689,4524.698229946327,3.9170608019479607
固定成本,56000.0,56400.0,400.0,0.7142857142857143
能耗成本,36526.07441419012,36948.185072315224,422.1106581251006,1.155642003404323
碳排成本,7895.171155519635,7990.012605226502,94.84144970686702,1.201258944722964
等待成本,14942.764813246416,15975.282242879357,1032.5174296329405,6.9098151683257285
迟到成本,148.57567892428847,2723.8043714057935,2575.2286924815053,1733.277418704441
总距离,18537.97486555985,18632.957803162575,94.98293760272645,0.5123695457112055
估算碳排放量,12146.4171623379,12292.327084963848,145.90992262594773,1.2012589447229514
ev_3000数量,10.0,10.0,0.0,0.0
ev_1250数量,15.0,15.0,0.0,0.0
fuel_3000数量,60.0,60.0,0.0,0.0
fuel_1500数量,49.0,49.0,0.0,0.0
fuel_1250数量,6.0,7.0,1.0,16.666666666666664
