车辆序号,车型,节点,路径位置,是否绿色区,是否燃油车,到达时间_分钟,到达时间_钟表,是否违反限行,审计结论
1,fuel_1500,6_2,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
2,fuel_1500,54_5,1,False,True,,,False,不涉及限行
3,fuel_1500,64_1,1,False,True,,,False,不涉及限行
4,fuel_1500,59_1,1,False,True,,,False,不涉及限行
5,fuel_1500,59_2,1,False,True,,,False,不涉及限行
6,fuel_1500,62_5,1,False,True,,,False,不涉及限行
7,fuel_3000,45_1,1,False,True,,,False,不涉及限行
7,fuel_3000,45_2,2,False,True,,,False,不涉及限行
8,fuel_3000,43_3,1,False,True,,,False,不涉及限行
8,fuel_3000,43_2,2,False,True,,,False,不涉及限行
9,fuel_3000,48_4,1,False,True,,,False,不涉及限行
9,fuel_3000,68_3,2,False,True,,,False,不涉及限行
10,fuel_3000,60_1,1,False,True,,,False,不涉及限行
10,fuel_3000,49_3,2,False,True,,,False,不涉及限行
11,fuel_3000,74_2,1,False,True,,,False,不涉及限行
11,fuel_3000,84_1,2,False,True,,,False,不涉及限行
11,fuel_3000,12_1,3,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
11,fuel_3000,2_1,4,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
12,ev_3000,88_1,1,False,False,,,False,不涉及限行
12,ev_3000,55_3,2,False,False,,,False,不涉及限行
12,ev_3000,68_1,3,False,False,,,False,不涉及限行
13,fuel_3000,60_5,1,False,True,,,False,不涉及限行
13,fuel_3000,72_2,2,False,True,,,False,不涉及限行
14,fuel_3000,63_6,1,False,True,,,False,不涉及限行
14,fuel_3000,48_3,2,False,True,,,False,不涉及限行
15,fuel_3000,53_3,1,False,True,,,False,不涉及限行
15,fuel_3000,28_2,2,False,True,,,False,不涉及限行
16,fuel_3000,43_4,1,False,True,,,False,不涉及限行
16,fuel_3000,50_5,2,False,True,,,False,不涉及限行
17,fuel_3000,85_1,1,False,True,,,False,不涉及限行
17,fuel_3000,61_1,2,False,True,,,False,不涉及限行
17,fuel_3000,75_2,3,False,True,,,False,不涉及限行
18,fuel_3000,52_3,1,False,True,,,False,不涉及限行
18,fuel_3000,31_4,2,False,True,,,False,不涉及限行
19,fuel_3000,52_1,1,False,True,,,False,不涉及限行
19,fuel_3000,26_1,2,False,True,,,False,不涉及限行
19,fuel_3000,67_2,3,False,True,,,False,不涉及限行
20,ev_3000,8_8,1,True,False,,,False,不涉及限行
20,ev_3000,8_2,2,True,False,,,False,不涉及限行
21,fuel_3000,53_4,1,False,True,,,False,不涉及限行
21,fuel_3000,78_2,2,False,True,,,False,不涉及限行
22,fuel_3000,57_2,1,False,True,,,False,不涉及限行
22,fuel_3000,50_6,2,False,True,,,False,不涉及限行
23,fuel_3000,61_3,1,False,True,,,False,不涉及限行
23,fuel_3000,63_1,2,False,True,,,False,不涉及限行
24,fuel_3000,42_5,1,False,True,,,False,不涉及限行
24,fuel_3000,52_5,2,False,True,,,False,不涉及限行
25,fuel_3000,7_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
25,fuel_3000,55_4,2,False,True,,,False,不涉及限行
26,fuel_3000,76_1,1,False,True,,,False,不涉及限行
26,fuel_3000,70_2,2,False,True,,,False,不涉及限行
26,fuel_3000,94_1,3,False,True,,,False,不涉及限行
27,fuel_3000,49_1,1,False,True,,,False,不涉及限行
