事件编号,路径编号,车型,路径
E1,1,fuel_1500,0 -> 6_2 -> 0
E1,2,fuel_1500,0 -> 54_5 -> 0
E1,3,fuel_1500,0 -> 64_1 -> 0
E1,4,fuel_1500,0 -> 59_1 -> 0
E1,5,fuel_1500,0 -> 59_2 -> 0
E1,6,fuel_1500,0 -> 62_5 -> 0
E1,7,fuel_3000,0 -> 45_1 -> 45_2 -> 0
E1,8,fuel_3000,0 -> 43_3 -> 43_2 -> 0
E1,9,fuel_3000,0
E1,10,fuel_3000,0 -> 60_1 -> 49_3 -> 0
E1,11,fuel_3000,0 -> 74_2 -> 84_1 -> 12_1 -> 2_1 -> 0
E1,12,ev_3000,0 -> 88_1 -> 92_2 -> 89_1 -> 55_3 -> 40_1 -> 68_3 -> 68_1 -> 0
E1,13,fuel_3000,0 -> 60_5 -> 72_2 -> 0
E1,14,fuel_3000,0 -> 63_6 -> 48_3 -> 48_4 -> 47_2 -> 47_1 -> 0
E1,15,fuel_3000,0 -> 53_3 -> 28_2 -> 0
E1,16,fuel_3000,0 -> 43_4 -> 50_5 -> 0
E1,17,fuel_3000,0 -> 85_1 -> 61_1 -> 75_2 -> 0
E1,18,fuel_3000,0 -> 52_3 -> 31_4 -> 0
E1,19,fuel_3000,0 -> 52_1 -> 26_1 -> 67_2 -> 0
E1,20,ev_3000,0 -> 8_8 -> 8_2 -> 0
E1,21,fuel_3000,0 -> 53_4 -> 78_2 -> 0
E1,22,fuel_3000,0 -> 57_2 -> 50_6 -> 0
E1,23,fuel_3000,0 -> 61_3 -> 63_1 -> 0
E1,24,fuel_3000,0 -> 42_5 -> 52_5 -> 0
E1,25,fuel_3000,0 -> 7_1 -> 55_4 -> 0
E1,26,fuel_3000,0 -> 76_1 -> 70_2 -> 94_1 -> 0
E1,27,fuel_3000,0 -> 49_1 -> 52_4 -> 0
E1,28,ev_3000,0 -> 9_2 -> 39_3 -> 0
E1,29,fuel_3000,0 -> 57_1 -> 51_3 -> 0
E1,30,fuel_3000,0 -> 9_1 -> 45_4 -> 0
E1,31,fuel_1250,0 -> 36_1 -> 0
E1,32,fuel_1250,0 -> 36_2 -> 0
E1,33,fuel_1250,0 -> 3_1 -> 78_1 -> 0
E1,34,ev_3000,0 -> 37_1 -> 46_3 -> 27_2 -> 0
E1,35,ev_3000,0 -> 13_1 -> 69_1 -> 10_1 -> 0
E1,36,ev_3000,0 -> 63_2 -> 84_2 -> 80_1 -> 0
E1,37,fuel_3000,0 -> 42_1 -> 58_2 -> 0
E1,38,fuel_3000,0 -> 48_5 -> 4_1 -> 0
E1,39,ev_1250,0 -> 51_2 -> 0
E1,40,ev_1250,0 -> 71_1 -> 0
E1,41,fuel_3000,0
E1,42,fuel_3000,0 -> 70_4 -> 77_2 -> 34_1 -> 0
E1,43,fuel_3000,0 -> 66_1 -> 79_2 -> 30_1 -> 0
E1,44,fuel_3000,0 -> 91_1 -> 77_1 -> 10_3 -> 0
E1,45,fuel_3000,0 -> 42_4 -> 32_1 -> 61_4 -> 0
E1,46,fuel_3000,0 -> 33_1 -> 27_1 -> 50_4 -> 0
E1,47,fuel_3000,0 -> 60_4 -> 65_5 -> 0
E1,48,fuel_3000,0 -> 41_1 -> 7_5 -> 0
E1,49,fuel_3000,0 -> 48_6 -> 55_6 -> 0
E1,50,fuel_3000,0 -> 44_4 -> 53_5 -> 0
E1,51,fuel_3000,0 -> 62_1 -> 50_2 -> 0
E1,52,fuel_3000,0 -> 60_2 -> 54_1 -> 0
E1,53,fuel_1500,0 -> 48_1 -> 0
E1,54,fuel_1500,0
E1,55,ev_1250,0 -> 35_2 -> 0
E1,56,ev_1250,0 -> 61_5 -> 0
E1,57,ev_3000,0 -> 86_1 -> 59_4 -> 90_1 -> 95_1 -> 19_1 -> 98_1 -> 5_1 -> 0
E1,58,fuel_1500,0 -> 42_2 -> 0
E1,59,ev_3000,0 -> 8_4 -> 52_2 -> 0
E1,60,fuel_3000,0 -> 59_5 -> 93_1 -> 56_3 -> 0
E1,61,ev_1250,0 -> 29_1 -> 0
E1,62,fuel_3000,0 -> 24_1 -> 67_1 -> 0
E1,63,fuel_3000,0 -> 49_2 -> 55_9 -> 0
E1,64,fuel_3000,0 -> 55_1 -> 55_5 -> 0
E1,65,fuel_1500,0 -> 73_2 -> 0
E1,66,ev_1250,0 -> 46_1 -> 0
E1,67,ev_1250,0 -> 97_1 -> 28_1 -> 0
E1,68,fuel_1500,0 -> 8_5 -> 0
E1,69,fuel_1500,0 -> 39_1 -> 0
